CustomerID,Recency,Frequency,Monetary,PC1,PC2,segmento
12346,326,1,77183.6,0.8726580496435797,2.6867580095552634,At Risk
12347,2,7,4310.0,2.5502598971795694,-0.8044273463632133,Champions
12348,75,4,1797.24,0.4751417941871487,0.7461208779133899,At Risk
12349,19,1,1757.55,0.1458319692428866,-0.46048046680295507,Loyal Customers
12350,310,1,334.4,-1.6889904949654109,0.6765554894664498,Lost
12352,36,8,2506.04,1.4395747508697951,0.6364771321502133,At Risk
12353,204,1,89.0,-2.153986943744781,-0.06623115751699069,Lost
12354,232,1,1079.4,-1.0235592605169654,0.9190028273014866,Lost
12355,214,1,459.4,-1.397610429849014,0.5577377823771995,Lost
12356,23,3,2811.43,0.925984427323034,0.09225827403031807,At Risk
12357,33,1,6207.67,0.5416740683657243,0.33482137218501967,At Risk
12358,2,2,1168.06,1.0437798089466377,-1.656005599435154,Loyal Customers
12359,58,4,6372.58,1.172346267574446,1.0458853584509276,At Risk
12360,52,3,2662.06,0.5973588398722146,0.5746954619260511,At Risk
12361,287,1,189.9,-1.9270667831567705,0.4228329532496281,Lost
12362,3,10,5226.23,2.81984265247381,-0.42956868458060365,Champions
12363,110,2,552.0,-0.6912538378174342,0.3610473576335411,Lost
12364,8,4,1313.1,1.1415540880391115,-0.7206488623482658,Loyal Customers
12365,291,2,641.38,-0.9897521043032816,1.0287798268799597,Lost
12367,4,1,168.9,-0.43344309986249385,-2.189545491937626,Loyal Customers
12370,51,4,3545.69,0.9424586559120678,0.7525926204977896,At Risk
12371,45,2,1887.96,0.2282794914144775,0.2494128703665654,At Risk
12372,72,3,1298.04,0.134372160496103,0.5165553539123859,At Risk
12373,311,1,364.6,-1.6493047362822792,0.70995339659687,Lost
12374,25,1,742.9300000000001,-0.36266333669852185,-0.607086362414657,Loyal Customers
12375,11,2,457.5,0.0698892009892862,-1.1175615544368807,Loyal Customers
12377,315,2,1628.12,-0.5783259692518176,1.4173868116827117,At Risk
12378,130,1,4008.62,-0.18123170122265825,1.030943842274899,At Risk
12379,82,2,852.24,-0.3743784838820117,0.33450605167281944,At Risk
12380,22,4,2724.81,1.1292507908117342,0.13963559905770914,At Risk
12381,5,5,1845.31,1.6227713603000662,-0.7839695201384546,Champions
12383,185,5,1850.56,0.3119288911621609,1.3942551695612857,At Risk
12384,29,2,585.27,-0.16359225570603594,-0.447200207414993,Loyal Customers
12386,338,2,401.9,-1.2681482612745099,0.9537095247140174,Lost
12388,16,6,2780.66,1.5587445541981353,0.0846494765879209,Champions
12390,80,1,549.84,-0.939483487049372,0.004062740498857401,Lost
12391,22,1,460.89,-0.5419874572875217,-0.858196600026734,Loyal Customers
12393,72,4,1582.6000000000001,0.43021421498820855,0.6743491059808393,At Risk
12394,64,2,1272.48,-0.09093258965185506,0.3251965418674766,At Risk
12395,19,12,3018.63,2.09555901687869,0.4554079977751421,Champions
12397,36,2,2409.9,0.42724960232220216,0.20012303714128502,At Risk
12398,46,1,1635.6599999999999,-0.21474267565219207,0.055099636016493786,At Risk
12399,119,4,1108.65,0.07151790488549992,0.8600979116463879,At Risk
12401,303,1,84.3,-2.3300001503362617,0.16407038133630905,Lost
12402,323,1,225.6,-1.8907212605685593,0.559871925829513,Lost
12403,50,1,427.7,-0.88166614306008,-0.38043820415909785,Lost
12405,149,1,1710.39,-0.636999271672788,0.8071052642951088,Lost
12406,22,2,3415.3,0.7743205656033003,0.025492302109311568,At Risk
12407,50,5,1708.1200000000001,0.7683735592717776,0.5447731571974692,At Risk
12408,33,5,2888.55,1.1724978592469193,0.4787253267510188,At Risk
12409,79,3,11072.67,1.1162838930136416,1.3541431637533663,At Risk
12410,309,2,693.3299999999999,-0.9757065755782935,1.0949947205750277,Lost
12412,75,3,1226.88,0.09224918132952799,0.5215961758547352,At Risk
12413,67,3,758.1,-0.09345826008305104,0.2761380922238723,At Risk
12414,217,3,562.41,-0.6800924747452122,0.9063065314476104,Lost
12415,24,21,124914.53,4.252635175262885,2.153154156093848,Champions
12417,3,9,3649.1,2.563209976222719,-0.596829193782715,Champions
12418,113,1,668.58,-0.9774400878310423,0.2917458017805726,Lost
12420,64,1,600.39,-0.8137299999401865,-0.10352081554933165,Lost
12421,16,4,807.04,0.6677669222651014,-0.4943223048732521,Loyal Customers
12422,96,3,803.5600000000001,-0.20158809919335394,0.5224989454812269,At Risk
12423,1,8,1859.31,2.4129268576492446,-1.3219602634190455,Champions
12424,163,2,1760.96,-0.2905064655589657,1.0300677408457553,At Risk
12425,78,1,777.2,-0.7659597586263914,0.11390742140558253,Lost
12426,195,1,582.73,-1.249628155666244,0.5854143407068998,Lost
12427,22,3,825.8,0.3613024594551531,-0.38006393446732517,Loyal Customers
12428,26,9,7956.46,2.203369532069046,0.897349072061075,Champions
12429,9,4,3750.4,1.5990697357215151,-0.27226546800740664,Champions
12430,43,1,256.4,-1.0673241408840148,-0.6596084615639983,Lost
12431,36,15,6487.45,2.4112755812576956,1.2034684063293075,Champions
12432,43,5,5059.32,1.3398720276002845,0.8460215809160642,At Risk
12433,1,7,13375.87,3.2425381895567917,-0.6495829732729488,Champions
12434,85,2,806.14,-0.4143036638967131,0.33681275665106397,At Risk
12435,80,2,7829.89,0.686885613415412,1.1254373123191603,At Risk
12436,100,1,509.01,-1.0603519149301428,0.1159560167872104,Lost
12437,2,18,4951.41,3.3985289953175797,-0.4216053565176283,Champions
12438,14,2,2906.85,0.8611863658604614,-0.30413161520815035,At Risk
12441,367,1,173.55,-2.0632217075594577,0.5456725543905956,Lost
